,shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco
55,GIN,1.0,0.12222222,0.0,6.5454545,7.4899707,6.1800165,0.0,-3.1465552,1.0
56,GMB,1.0,0.14755556,0.0,8.272727,7.2723985,7.293018,0.0,-3.0365543,1.0
57,GNB,1.0,0.13333334,0.0,4.5454545,,5.103883,0.0,-3.2441936,
58,GRC,0.0,0.43333334,0.0,7.818182,9.39765,,0.0,-0.7571525,
59,GTM,0.0,0.17,0.0,5.1363635,8.294049,4.26268,0.0,-1.5606477,1.0
60,GUY,0.0,0.055555556,0.0,5.8863635,7.904704,3.4713452,0.0,-2.253795,1.0
61,HKG,0.0,0.24611111,0.0,8.136364,10.04975,2.7013612,1.0,-0.49758044,1.0
62,HND,0.0,0.16666667,0.0,5.318182,7.6870804,4.3579903,0.0,-2.040221,1.0
63,HRV,0.0,0.5011111,0.0,,8.418477,,0.0,,
64,HTI,0.0,0.21111111,0.0,3.7272727,7.1467724,4.8675346,0.0,-2.864704,1.0
65,HUN,0.0,0.5222222,0.0,9.0,8.809863,,0.0,-1.1809075,
66,IDN,0.0,0.0556,0.0,7.590909,8.070906,5.1357985,1.0,-2.207275,1.0
67,IND,0.0,0.2222,0.0,8.272727,7.326,3.8842406,1.0,-2.453408,1.0
68,IRL,0.0,0.5888889,0.0,9.727273,9.769384,,0.0,-0.549913,
69,IRN,0.0,0.35555556,0.0,4.7727275,8.605204,,1.0,-1.22078,
70,IRQ,0.0,0.36666667,0.0,1.6363636,,,1.0,,
71,ISL,0.0,0.7222222,0.0,9.727273,9.943669,,0.0,-0.3147107,
72,ISR,0.0,0.34777778,0.0,8.545455,9.784141,,1.0,-0.41703176,
73,ITA,0.0,0.4722222,0.0,9.454545,9.897972,,0.0,-0.18152189,
74,JAM,0.0,0.20166667,0.0,7.090909,8.188689,4.8675346,0.0,-2.040221,1.0
75,JOR,0.0,0.34444445,0.0,6.7727275,8.171882,,1.0,-0.87707,
76,JPN,0.0,0.4,0.0,9.727273,10.034077,,1.0,-0.53273046,
77,KAZ,0.0,0.53333336,0.0,,8.131531,,1.0,,
78,KEN,1.0,0.011111111,0.0,6.0454545,7.056175,4.9767337,0.0,-2.8824036,1.0
79,KGZ,0.0,0.45555556,0.0,,7.575585,,1.0,,
80,KOR,0.0,0.41111112,0.0,8.636364,9.415728,4.7706847,1.0,-0.967584,
81,KWT,0.0,0.32555553,0.0,7.0454545,9.803667,,1.0,,
82,LAO,0.0,0.2,0.0,,7.090077,4.9416423,1.0,,
83,LBR,1.0,0.07,0.0,3.6363637,,6.1800165,0.0,,
84,LBY,1.0,0.2777778,0.0,5.2727275,,,0.0,,
85,LKA,0.0,0.07777778,0.0,6.0454545,7.7319307,4.245634,1.0,-1.8643302,1.0
86,LSO,1.0,0.32555553,0.0,,7.3065314,,0.0,-2.7646205,
87,LTU,0.0,0.62222224,0.0,,8.237479,,0.0,,
88,LUX,0.0,0.54944444,0.0,10.0,10.28875,,0.0,-0.014098923,
89,LVA,0.0,0.6333333,0.0,,8.154788,,0.0,,
90,MAR,1.0,0.35555556,0.0,7.090909,8.042378,4.3592696,0.0,-1.6766466,1.0
91,MDA,0.0,0.5222222,0.0,,7.377759,,0.0,,
92,MDG,1.0,0.22222222,0.0,4.4545455,6.8351846,6.284209,0.0,-3.194183,1.0
93,MEX,0.0,0.25555557,0.0,7.5,8.943768,4.26268,0.0,-0.83701754,1.0
94,MKD,0.0,0.4611111,0.0,,8.061487,,0.0,,
95,MLI,1.0,0.18888889,0.0,4.0,6.565265,7.986165,0.0,-3.3524072,1.0
96,MLT,0.0,0.39444444,0.0,7.2272725,9.427063,2.791165,0.0,-0.77002823,1.0
97,MMR,0.0,0.24444444,0.0,5.7727275,,3.5438535,1.0,-3.5404594,
98,MNG,0.0,0.51111114,0.0,7.3636365,7.2997975,,1.0,,
99,MOZ,1.0,0.20166667,0.0,6.5,6.461468,,0.0,-3.2441936,
100,MRT,1.0,0.22222222,0.0,,7.4145727,5.6347895,0.0,-2.9957323,
101,MUS,1.0,0.22411111,0.0,,9.053686,3.4177268,0.0,-1.3394108,
102,MWI,1.0,0.14777778,0.0,6.818182,6.461468,,0.0,-3.506558,
103,MYS,0.0,0.025555555,0.0,7.9545455,8.8942585,2.8735647,1.0,-1.3205067,1.0
104,NAM,1.0,0.24444444,0.0,,8.515191,,0.0,-1.6398971,
105,NER,1.0,0.17777778,0.0,5.0,6.733402,5.9914646,0.0,-3.5404594,1.0
106,NGA,1.0,0.11111111,0.0,5.5454545,6.8134446,7.6029005,0.0,-3.0365543,1.0
107,NIC,0.0,0.14444445,0.0,5.2272725,7.544332,5.095589,0.0,-2.0714734,1.0
108,NLD,0.0,0.5811111,0.0,10.0,9.896966,,0.0,-0.21567154,
109,NOR,0.0,0.6888889,0.0,9.954545,10.023933,,0.0,-0.2757535,
110,NPL,0.0,0.31111112,0.0,,6.937314,,1.0,,
111,NZL,0.0,0.45555556,1.0,9.727273,9.756147,2.1459312,0.0,-0.33267942,1.0
112,OMN,0.0,0.23333333,0.0,7.1363635,9.208339,,1.0,-0.85802186,
113,PAK,0.0,0.33333334,0.0,6.0454545,7.3524413,3.6106477,1.0,-2.0557249,1.0
114,PAN,0.0,0.1,0.0,5.909091,8.836374,5.095589,0.0,-1.5005835,1.0
115,PER,0.0,0.11111111,0.0,5.7727275,8.396154,4.26268,0.0,-1.4396951,1.0
116,PHL,0.0,0.14444445,0.0,5.4545455,8.098643,,1.0,-2.0714734,
117,PNG,0.0,0.06666667,0.0,7.2727275,,5.1357985,1.0,-2.5510464,
118,POL,0.0,0.5777778,0.0,7.681818,8.655214,,0.0,-1.4354845,
119,PRK,0.0,0.44444445,0.0,,,,0.0,,
120,PRT,0.0,0.43666667,0.0,9.181818,9.489486,,0.0,-1.005122,
121,PRY,0.0,0.25555557,0.0,6.9545455,8.207947,4.3579903,0.0,-1.7719568,1.0
122,QAT,0.0,0.2811111,0.0,7.7272725,9.685331,,1.0,,
123,ROM,0.0,0.51111114,0.0,7.2727275,8.387085,,0.0,-2.1803675,
124,RUS,0.0,0.6666667,0.0,8.454545,8.405144,,0.0,-0.8746691,
125,RWA,1.0,0.022222223,0.0,,6.4769726,5.6347895,0.0,-3.1465552,
126,SAU,0.0,0.2777778,0.0,7.590909,9.2399,,1.0,-0.638659,
127,SDN,1.0,0.16666667,0.0,4.0,7.3065314,4.479607,0.0,-2.7030625,1.0
128,SEN,1.0,0.15555556,0.0,6.0,7.4024515,5.103883,0.0,-2.6310892,1.0
129,SGP,0.0,0.013555556,0.0,9.318182,10.146434,2.8735647,1.0,-0.5008753,1.0
130,SLE,1.0,0.09222222,0.0,5.818182,6.253829,6.1800165,0.0,-2.748872,1.0
131,SLV,0.0,0.15,0.0,5.0,7.948032,4.3579903,0.0,-1.8515095,1.0
132,SOM,1.0,0.11111111,0.0,3.0,,,0.0,-3.015935,
133,STP,0.0,0.011111111,0.0,8.409091,,,0.0,,
134,SUR,0.0,0.044444446,0.0,4.681818,8.01,3.4713452,0.0,-1.3704209,
135,SVK,0.0,0.5377778,0.0,,8.852236,,0.0,,
136,SVN,0.0,0.51111114,0.0,,9.300181,,0.0,,
137,SWE,0.0,0.6888889,0.0,9.5,9.866304,,0.0,-0.23952703,
138,SWZ,1.0,0.2922222,0.0,,8.10772,,0.0,-1.8078889,
139,SYR,0.0,0.3888889,0.0,5.818182,8.029433,,1.0,-0.8255364,
140,TCD,1.0,0.16666667,0.0,,6.8351846,5.6347895,0.0,-3.4420192,
141,TGO,1.0,0.08888889,0.0,6.909091,7.222566,6.504288,0.0,-3.218876,1.0
142,THA,0.0,0.16666667,0.0,7.6363635,8.774931,4.9416423,1.0,-1.8515095,
143,TJK,0.0,0.43333334,0.0,,6.8875527,,1.0,,
144,TKM,0.0,0.44444445,0.0,,7.6401234,,1.0,,
145,TTO,0.0,0.12222222,0.0,7.4545455,8.76873,4.4426513,0.0,-0.69715524,1.0
146,TUN,1.0,0.37777779,0.0,6.4545455,8.482602,4.1431346,0.0,-1.5278579,1.0
147,TUR,0.0,0.43333334,0.0,7.4545455,8.641179,,1.0,-1.5232602,
148,TWN,0.0,,0.0,9.227273,,,1.0,-0.809681,
149,TZA,1.0,0.06666667,0.0,6.6363635,6.253829,5.6347895,0.0,-3.4420192,1.0
150,UGA,1.0,0.011111111,0.0,4.4545455,6.9660244,5.6347895,0.0,-3.4420192,1.0
151,UKR,0.0,0.54444444,0.0,,7.8119736,,0.0,,
152,URY,0.0,0.36666667,0.0,7.0,9.031214,4.26268,0.0,-1.0788096,1.0
153,USA,0.0,0.42222223,1.0,10.0,10.21574,2.7080503,0.0,0.0,1.0
154,UZB,0.0,0.45555556,0.0,,7.8079166,,1.0,,
155,VEN,0.0,0.08888889,0.0,7.1363635,9.071078,4.3579903,0.0,-0.7031975,1.0
156,VNM,0.0,0.17777778,0.0,6.409091,7.279319,4.9416423,1.0,,1.0
157,YEM,0.0,0.16666667,0.0,6.3636365,6.6463904,,1.0,-1.551169,
158,YUG,0.0,0.4888889,0.0,6.318182,,,0.0,-1.2039728,
159,ZAF,1.0,0.32222223,0.0,6.8636365,8.885994,2.74084,0.0,-1.3862944,1.0
160,ZAR,1.0,0.0,0.0,3.5,6.8669333,5.480639,0.0,-3.4112477,1.0
161,ZMB,1.0,0.16666667,0.0,6.6363635,6.8134446,,0.0,-2.9759297,
162,ZWE,1.0,0.22222222,0.0,6.0,7.696213,,0.0,-2.7333682,
