DATE,A939RX0Q048SBEA
2013-04-01,51906.0
2013-07-01,52212.0
2013-10-01,52526.0
2014-01-01,52293.0
2014-04-01,52913.0
2014-07-01,53452.0
2014-10-01,53646.0
2015-01-01,54071.0
2015-04-01,54348.0
2015-07-01,54439.0
2015-10-01,54420.0
2016-01-01,54640.0
2016-04-01,54722.0
2016-07-01,54918.0
2016-10-01,55165.0
2017-01-01,55401.0
2017-04-01,55560.0
2017-07-01,55874.0
2017-10-01,56324.0
2018-01-01,56785.0
2018-04-01,57099.0
2018-07-01,57317.0
2018-10-01,57429.0
2019-01-01,57789.0
2019-04-01,57942.0
2019-07-01,58229.0
2019-10-01,58490.0
2020-01-01,57691.0
2020-04-01,52448.0
