Ano;Consumo Real Per Capita;Taxa de Juros Real de 1 ano;Retorno Real S&P 
1950;8502.69292565981;0.937409448818898;1.24309624211666
1951;8492.65823496438;0.978810566037736;1.15687687367119
1952;8612.56761281851;1.0200507518797;1.1362661511157
1953;8874.23939929859;1.01435985130112;1.01642049181957
1954;8897.17368568524;1.02562546816479;1.46968586988182
1955;9378.79158204927;1.01430111940299;1.28143656716418
1956;9480.33936600009;1.00218405797101;1.03743496315263
1957;9541.59146077077;1.00228531468531;0.91150452013318
1958;9458.97514596458;1.01125655172414;1.37594089628338
1959;9819.11128336877;1.02677815699659;1.06521213549279
1960;9886.80230597561;1.0253033557047;1.04489520000648
1961;9927.01255734689;1.02223933333333;1.18245255637419
1962;10259.5997892789;1.02029605263158;0.959981483315934
1963;10529.7562584778;1.01825242718447;1.19053261266424
1964;11007.9195038865;1.03089134615385;1.14804296423001
1965;11557.9398362542;1.02489056603774;1.09414682452743
1966;12074.8512206569;1.01914650455927;0.904420127755984
1967;12299.8972352347;1.01835630498534;1.11915603638517
1968;12877.1554517032;1.0169654494382;1.05935614336246
1969;13224.5115758537;1.01761375661376;0.862700383084546
1970;13375.3591962943;1.03627085427136;1.01621327766059
1971;13711.9873981657;1.0231795620438;1.10178092612531
1972;14396.6179501066;1.00936197183099;1.13542464856905
1973;14959.1753084321;0.986656223175966;0.768029773998563
1974;14709.7212391479;0.993089827255279;0.708771998495805
1975;14902.6481982159;1.0048928057554;1.29838813623853
1976;15572.3238239848;1.00460170940171;1.05836355582381
1977;16070.003606048;0.9854208;0.855843560350641
1978;16599.4568732244;0.986273792093704;1.06240595709819
1979;16816.0673890457;0.973406683804627;1.02589488952409
1980;16576.5745729404;0.995929425287356;1.12219177684541
1981;16646.1725230561;1.08523966065748;0.859726370478323
1982;16719.585381705;1.10498773006135;1.24259127126943
1983;17515.6372339881;1.04969440628067;1.15408568045154
1984;18284.4037685181;1.07318568720379;1.03988921135151
1985;19063.9459696557;1.04296760948905;1.21208753126785
1986;19657.785054109;1.05765971223022;1.29144033829087
1987;20132.1707824179;1.02117545375972;0.942139257380626
1988;20758.540895106;1.02830644095789;1.12583219244649
1989;21142.7633571314;1.03885549450549;1.16909489375416
1990;21332.497075325;1.02629881129272;0.939882030496441
1991;21086.6914744718;1.04210224475018;1.28241379885677
1992;21489.4521771637;1.00630932678822;1.04185383623227
1993;21921.1970694889;1.00892913816689;1.08819111727739
1994;22467.6955149957;1.01503459747172;0.98388821770119
1995;22802.9768781791;1.03623283678756;1.31440786194953
1996;23325.448437975;1.02558089252043;1.23375671692216
1997;23898.9148513691;1.04143551980198;1.25775462014761
1998;24861.1282110706;1.03943323189288;1.29150296947092
1999;25922.5713140108;1.02502565165877;1.12417065786098
2000;26939.6238841696;1.02774231867504;0.914189489707166
2001;27388.9391294594;1.03448407679277;0.855697905360839
2002;27848.5011542935;0.992715189873418;0.779526289794052
2003;28368.6869902899;0.992678509719223;1.25935260707809
2004;29087.2956352182;0.985629155742003;1.02975325029364
2005;29790.2957748382;0.994467322239032;1.05898044774596
2006;30364.4334381902;1.03178385107897;1.11014420374306
2007;30867.6098721734;1.00968375035515;0.946607449440771
2008;30509.0812369265;1.03438122978266;0.648500577578339
2009;29933.8546757902;0.984305018067535;1.29008238650076
